guess
553
756
1860
1500
692
1633
1411
612
2111
839
3768
1699
2016
3578
1389
441
3733
2750
4567
2135
984
1414
1573
1757
5126
269
1412
1616
4952
4586
2452
1256
2469
1286
5005
1200
1927
3122
3455
4214
849
1530
2100
4600
280
668
9001
963
1396
1280
1385
4158
1385
1001
1100
2112
1622
2147
749
1880
738
801
2549
6563
2153
2054
7075
2533
575
1105
512
1723
1570
2278
6553
1143
3492
1200
2147
2299
2056
8000
1372
1428
1050
4320
1248
3577
1412
1337
2096
1469
2880
529
3575
1582
1350
1300
1777
1631
854
1399
1199
785
3014
1255
1669
1312
1752
2020
817
942
2003
1962
1298
2609
1738
2159
674
549
2863
603
4275
900
657
983
2500
845
794
3221
1527
5000
2038
2805
11987
2137
2075
947
2020
1452
3485
2458
950
2466
667
3765
1250
3114
824
1128
1769
2340
2060
27540
1000
2542
801
2333
2036
1387
2225
3689
1445
1673
1500
2423
4675
2279
1906
2300
5006
1349
1234
957
1013
697
2600
2369
1728
2682
666
2586
496
436
2541
700
273
1364
2562
1403
6589
1372
3050
1241
946
1342
450
2600
1123
1728
1350
1154
450
1931
1198
2314
1231
467
1993
1154
2500
2874
563
1826
1264
1800
3487
976
14309
2599
1109
1452
2159
1256
3873
4050
1046
545
1628
1079
962
754
977
1467
1123
2865
1867
5000
4150
2974
3467
486
1423
400
1847
2049
2486
2467
2993
1964
3599
4319
2546
2447
1569
1613
4032
1989
4531
900
2856
2483
300
888
876
1131
4287
1998
1599
1254
1768
2553
10001
1919
1546
2317
1910
698
1746
1997
1044
8569
1212
1198
5489
1760
2989
1600
5971
111
1121
736
1800
930
10368
557
1337
2760
1300
1599
898
17
3011
2165
31337
605
1334
2072
995
2874
1754
855
974
4764
1848
2826
1757
1800
1234
2253
2011
826
2497
965
1530
2014
2562
6083
3472
1274
1729
3585
2362
2036
1880
2087
920
930
4064
972
1616
1050
3294
1517
1197
2353
1796
716
3024
6432
3459
3500
2268
1295
622
3067
4120
2689
2710
697
1275
1337
924
14237
1000
3257
2568
889
2222
874
756
1550
706
2081
740
3452
2500
500
4567
3652
466
1962
2567
2054
4269
1320
7965
1337
5027
3009
1246
2011
1298
1908
1890
2732
1200
898
992
1348
1600
687
2448
2048
3333
2079
1296
1293
2451
2045
1506
1473
2011
3000
1706
458
1044
1479
4869
913
655
3568
6744
111
260
672
2499
1279
865
912
2243
575
1710
1899
2456
1836
2000
953
2547
21000
2013
1601
6100
2030
826
2647
2374
3269
6487
929
452
1649
1826
4573
2292
4000
450
1879
2013
5328
2544
3247
4566
1738
987
653
2401
1994
1798
831
1724
1337
390
4051
874
6458
2427
3208
1150
5352
3584
2609
1216
3425
793
3846
1245
512
496
3332
1037
867
1800
1495
1337
1616
3456
2856
3333
7145
5032
1257
1032
1681
1729
10
1073
1985
881
4689
856
983
1198
1616
3225
1200
1178
1821
1336
853
3843
1301
2859
1833
1589
1528
965
720
3879
2345
706
1296
2104
2299
514
627
1422
1836
1563
2081
1500
3576
1887
1598
720
1571
1054
4297
6594
2856
2128
1280
1260
1440
1890
2262
1632
2374
1115
1620
1649
680
2094
1498
2819
1758
2432
822
2000
3281
2693
850
1944
2268
1629
4132
2448
1696
1937
1620
3000
1975
1600
1871
1499
1206
1286
10000
1432
1548
843
5895
3375
2177
1021
390
536
2127
801
2494
2000
907
1605
1204
2600
1616
1353
1342
562
899
1283
3576
444
1221
2000
2354
1647
527
850
1728
1729
3500
1987
3485
9000
4682
3972
2000
896
1931
4209
1616
2843
942
2383
1756
2596
2473
3149
946
2164
2189
2445
1627
2843
3003
3550
1590
4251
2301
1198
819
8400
1082
668
2673
1450
71
2527
1798
5898
601
1729
1837
812
728
6754
1198
1499
2164
999
1529
1520
907
5672
1733
1577
1562
1099
3976
780
815
850
1197
9000
2097
2466
1749
